Company,Rating,Location,Employee_Size,Industry,Review
Mindpath,4.4,Indore,51 to 200,Information Technology Support Services,32
ValueLabs,4.3,Indore,5001 to 10000,Information Technology Support Services,2.8T
Mphasis,3.6,Indore,10000+,Information Technology Support Services,9T
Rakuten,3.6,Indore,10000+,Internet & Web Services,3T
Cisco Systems,4.4,Indore,10000+,Enterprise Software & Network Solutions,32.1T
Hinduja Global Solutions,3.5,Indore,10000+,Information Technology Support Services,4.5T
Nagarro,4.1,Indore,10000+,Information Technology Support Services,4.6T
Cyber Infrastructure (CIS),3.6,Indore,1001 to 5000,Information Technology Support Services,304
Diaspark,3.6,Indore,501 to 1000,Information Technology Support Services,201
Salesforce,4.2,Indore,10000+,Enterprise Software & Network Solutions,17.8T
Oracle,4.0,Indore,10000+,Enterprise Software & Network Solutions,50.6T
Intelliswift,4.1,Indore,1001 to 5000,Software Development,606
CBNITS,4.7,Indore,201 to 500,Information Technology Support Services,200
Capital Numbers,4.7,Indore,201 to 500,Information Technology Support Services,707
Team Computers,4.1,Indore,1001 to 5000,Information Technology Support Services,1.1T
Vista IT Solutions (India),4.4,Indore,51 to 200,Enterprise Software & Network Solutions,38
Fusion Global Business Solutions,4.3,Indore,201 to 500,Enterprise Software & Network Solutions,34
Controlf5.in,4.7,Indore,1 to 50,Internet & Web Services,37
Turing,4.0,Indore,501 to 1000,Software Development,554
Unthinkable,3.8,Indore,51 to 200,Information Technology Support Services,273
VVDN Technologies ,3.5,Indore,1001 to 5000,Information Technology Support Services,872
iOPEX Technologies,4.0,Indore,1001 to 5000,Enterprise Software & Network Solutions,867
ASDF Web Hosting,4.2,Indore,1001 to 5000,Information Technology Support Services,257
Webllisto Technologies,4.7,Indore,1 to 50,Enterprise Software & Network Solutions,26
ESDS Software Solution,3.7,Indore,1001 to 5000,Information Technology Support Services,371
ATMECS,3.7,Indore,501 to 1000,Information Technology Support Services,300
NIC,4.3,Indore,501 to 1000,Enterprise Software & Network Solutions,327
Inpetro Technologies,4.0,Indore,1001 to 5000,Information Technology Support Services,36
Brain Inventory,4.6,Indore,1 to 50,Information Technology Support Services,36
IndiaNIC Infotech,3.5,Indore,201 to 500,Information Technology Support Services,233
Axelerant,4.3,Indore,51 to 200,Information Technology Support Services,121
OutSystems,4.1,Indore,1001 to 5000,Computer Hardware Development,536
Zeetech Management & Marketing,4.4,Indore,201 to 500,Information Technology Support Services,263
emids,3.6,Indore,1001 to 5000,Information Technology Support Services,798
Techsolvo,4.5,Indore,1 to 50,Information Technology Support Services,33
Teliolabs,4.4,Indore,51 to 200,Information Technology Support Services,78
Nuclei,3.9,Indore,51 to 200,Enterprise Software & Network Solutions,114
Allstate India,4.2,Indore,5001 to 10000,Information Technology Support Services,872
Inspirisys Solutions Limited,4.3,Indore,1001 to 5000,Information Technology Support Services,536
Robosoft Technologies,4.4,Indore,1001 to 5000,Information Technology Support Services,736
DigitalOcean,3.8,Indore,501 to 1000,Information Technology Support Services,336
Quinnox,3.5,Indore,1001 to 5000,Information Technology Support Services,620
Quest GTL,3.5,Indore,51 to 200,Information Technology Support Services,22
Golden Eagle IT Technologies,3.8,Indore,1 to 50,Information Technology Support Services,50
Empower Integrated Solutions (P) Ltd.,4.0,Indore,51 to 200,Information Technology Support Services,36
Multidots Solutions,4.9,Indore,51 to 200,Information Technology Support Services,112
Eclat Infotech,3.9,Indore,1 to 50,Computer Hardware Development,30
Biz4Solutions,3.5,Indore,51 to 200,Information Technology Support Services,74
Helpshift,4.3,Indore,51 to 200,Enterprise Software & Network Solutions,104
Directi,4.1,Indore,1001 to 5000,Internet & Web Services,519
TechValens,4.5,Indore,51 to 200,Computer Hardware Development,27
Gemini Solutions,3.9,Indore,1001 to 5000,Information Technology Support Services,633
Eternus Solutions,3.7,Indore,201 to 500,Information Technology Support Services,179
Dineout,3.9,Indore,501 to 1000,Internet & Web Services,224
Applications Software Technology,3.7,Indore,501 to 1000,Information Technology Support Services,271
